"2022-08-18 08:29:45 [restartedMain] INFO  c.c.d.DailySharePriceApplication - Starting DailySharePriceApplication using Java 18.0.1.1 on Harika-Dell with PID 17300 (C:\Users\harik\Downloads\Portfolio-Management-master\Portfolio-Management-master\Back-End Spring-Boot\DailySharePrice\DailySharePrice\target\classes started by harik in C:\Users\harik\Downloads\Portfolio-Management-master\Portfolio-Management-master\Back-End Spring-Boot\DailySharePrice\DailySharePrice)
""2022-08-18 08:47:35 [RMI TCP Connection(21)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2022-08-18 08:47:35 [RMI TCP Connection(21)-127.0.0.1] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application DAILYSHARE-SERVICE with eureka with status DOWN
""2022-08-18 08:47:35 [RMI TCP Connection(21)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1660792655970, current=DOWN, previous=UP]
""2022-08-18 08:47:35 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_DAILYSHARE-SERVICE/Harika-Dell:dailyshare-service:8082: registering service...
""2022-08-18 08:47:35 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_DAILYSHARE-SERVICE/Harika-Dell:dailyshare-service:8082 - registration status: 204
""2022-08-18 08:47:36 [RMI TCP Connection(21)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
""2022-08-18 08:47:36 [RMI TCP Connection(21)-127.0.0.1] WARN  o.s.b.f.s.DisposableBeanAdapter - Invocation of destroy method failed on bean with name 'inMemoryDatabaseShutdownExecutor': org.h2.jdbc.JdbcSQLNonTransientConnectionException: Database is already closed (to disable automatic closing at VM shutdown, add ";DB_CLOSE_ON_EXIT=FALSE" to the db URL) [90121-200]
""2022-08-18 08:47:36 [RMI TCP Connection(21)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
""2022-08-18 08:47:36 [RMI TCP Connection(21)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
""2022-08-18 08:47:36 [RMI TCP Connection(21)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
""2022-08-18 08:47:39 [RMI TCP Connection(21)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - Unregistering ...
""2022-08-18 08:47:39 [RMI TCP Connection(21)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_DAILYSHARE-SERVICE/Harika-Dell:dailyshare-service:8082 - deregister  status: 200
""2022-08-18 08:47:39 [RMI TCP Connection(21)-127.0.0.1] INFO  c.netflix.discovery.DiscoveryClient - Completed shut down of DiscoveryClient
"
